

=============================================================
11:11:51 1.5.9.0> Abrindo Tela de Login
11:12:02 1.5.9.0> Login realizado como: teste


=============================================================
11:12:13 1.5.9.0> Current Device Count: 1
11:12:15 1.5.9.0>  1000
 Image Flat Width: 1000
 Image Flat Height: 1000
 Image Roll Width: 800
 Image Roll Height: 750
 Brightness: 40, Contrast: 20, Gain: 2

11:12:35 1.5.9.0> Iniciando Captura
11:12:35 1.5.9.0> Device Error: Sucesso
11:12:35 1.5.9.0> Device Error: Sucesso
11:12:36 1.5.9.0> Device Error: Sucesso
11:12:36 1.5.9.0> Device Error: Sucesso
11:12:36 1.5.9.0> Device Error: Sucesso
11:12:36 1.5.9.0> Device Error: Sucesso
11:12:36 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:37 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:38 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:39 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:40 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:41 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:42 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:43 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
11:12:44 1.5.9.0> Device Error: Sucesso
